#x(nm),y(Hz)
-4.600000000000000755e-01,-3.557471128589809695e+01
-4.559691139240511504e-01,-3.538733230425688703e+01
-4.519382278481016146e-01,-3.390830042599099414e+01
-4.479073417721524675e-01,-3.416694529600664509e+01
-4.438764556962029317e-01,-3.348904603820383130e+01
-4.398455696202537846e-01,-3.237908020874987614e+01
-4.358146835443042488e-01,-3.169165772900257494e+01
-4.317837974683547131e-01,-2.943519524311133750e+01
-4.277529113924055659e-01,-3.113996559635677031e+01
-4.237220253164560302e-01,-3.044857543499201213e+01
-4.196911392405068830e-01,-3.003280903652212785e+01
-4.156602531645573473e-01,-2.967106035516648888e+01
-4.116293670886082001e-01,-2.963735202058263596e+01
-4.075984810126586644e-01,-2.959437316306978261e+01
-4.035675949367091286e-01,-2.939277114670987601e+01
-3.995367088607599815e-01,-2.905082438044341231e+01
-3.955058227848104457e-01,-2.869630860121056770e+01
-3.914749367088612986e-01,-2.822632907376502232e+01
-3.874440506329117628e-01,-2.739423979491660788e+01
-3.834131645569626157e-01,-2.548254398489733674e+01
-3.793822784810130799e-01,-2.350014628001290617e+01
-3.753513924050635442e-01,-2.177387625005017568e+01
-3.713205063291143970e-01,-2.208292866284491396e+01
-3.672896202531648613e-01,-2.278967714156961932e+01
-3.632587341772157696e-01,-2.269703708814087051e+01
-3.592278481012661784e-01,-2.208337320022190653e+01
-3.551969620253170867e-01,-2.213099050816365576e+01
-3.511660759493674955e-01,-2.216389315557525208e+01
-3.471351898734179597e-01,-2.197761807669499134e+01
-3.431043037974688681e-01,-2.182979899739955698e+01
-3.390734177215192768e-01,-2.190072281917400332e+01
-3.350425316455701852e-01,-2.169338191601686461e+01
-3.310116455696206494e-01,-2.135730515143430708e+01
-3.269807594936715023e-01,-2.106218937516749179e+01
-3.229498734177219665e-01,-2.081693285939183724e+01
-3.189189873417724308e-01,-2.061335240151782600e+01
-3.148881012658232836e-01,-2.014213698635332861e+01
-3.108572151898737479e-01,-1.971351149019435667e+01
-3.068263291139246007e-01,-1.940492145104858324e+01
-3.027954430379750650e-01,-1.903287854642446320e+01
-2.987645569620259178e-01,-1.856637676720398034e+01
-2.947336708860763821e-01,-1.824595654911336950e+01
-2.907027848101268463e-01,-1.785118695308273473e+01
-2.866718987341776992e-01,-1.740052696815278210e+01
-2.826410126582281634e-01,-1.705714172619944335e+01
-2.786101265822790163e-01,-1.655054391189792184e+01
-2.745792405063294805e-01,-1.614084496564608884e+01
-2.705483544303803334e-01,-1.563975302650386112e+01
-2.665174683544307976e-01,-1.516473670997500456e+01
-2.624865822784814839e-01,-1.464341910143706293e+01
-2.584556962025321147e-01,-1.419046069351980677e+01
-2.544248101265825790e-01,-1.392236367497689642e+01
-2.503939240506332653e-01,-1.343410362032299155e+01
-2.463630379746838961e-01,-1.295805787913054630e+01
-2.423321518987345546e-01,-1.247672030243960961e+01
-2.383012658227852409e-01,-1.196613299147102616e+01
-2.342703797468358995e-01,-1.137279083540368951e+01
-2.302394936708865580e-01,-1.086068849863384855e+01
-2.262086075949369945e-01,-1.034958169617258505e+01
-2.221777215189876808e-01,-9.814665460652644668e+00
-2.181468354430383394e-01,-9.471576587084250320e+00
-2.141159493670889979e-01,-9.164775984603835468e+00
-2.100850632911396565e-01,-8.954234821938545252e+00
-2.060541772151903150e-01,-8.766427581603633001e+00
-2.020232911392409736e-01,-8.563952687673179298e+00
-1.979924050632914379e-01,-8.372351209960868346e+00
-1.939615189873420964e-01,-8.201782379732318162e+00
-1.899306329113927549e-01,-8.015009402016499251e+00
-1.858997468354434135e-01,-7.873316396476083945e+00
-1.818688607594940720e-01,-7.675290357993279855e+00
-1.778379746835447306e-01,-7.552945575836343295e+00
-1.738070886075954169e-01,-7.426344431894493781e+00
-1.697762025316458534e-01,-7.267128966176183980e+00
-1.657453164556965119e-01,-7.032173291311762497e+00
-1.617144303797471705e-01,-6.849444372118949964e+00
-1.576835443037978568e-01,-6.634491151814110310e+00
-1.536526582278485153e-01,-6.381312095923692418e+00
-1.496217721518991739e-01,-6.044780358316228508e+00
-1.455908860759498324e-01,-5.827390180500863437e+00
-1.415600000000002967e-01,-5.515417235735272428e+00
-1.375291139240509553e-01,-5.099693745582606574e+00
-1.334982278481016138e-01,-4.630720404819963498e+00
-1.294673417721522724e-01,-4.165142660997441126e+00
-1.254364556962029309e-01,-3.737272184472925307e+00
-1.214055696202535894e-01,-3.529435091206042152e+00
-1.173746835443042619e-01,-3.261661691904273574e+00
-1.133437974683547123e-01,-3.110883636486046822e+00
-1.093129113924053708e-01,-2.906378486375330361e+00
-1.052820253164560294e-01,-2.751164423783111879e+00
-1.012511392405067018e-01,-2.604207139107702851e+00
-9.722025316455736033e-02,-2.454076338047497252e+00
-9.318936708860801887e-02,-2.373839387895124275e+00
