#x(nm),y(Hz)
-5.000000000000000000e-01,-3.456677925493569603e+01
-4.958908860759495552e-01,-3.433839227187942811e+01
-4.917817721518987217e-01,-3.416970587649485935e+01
-4.876726582278483324e-01,-3.401786374119157585e+01
-4.835635443037975545e-01,-3.391539808650736632e+01
-4.794544303797467211e-01,-3.390815079776821506e+01
-4.753453164556963872e-01,-3.408545175438435848e+01
-4.712362025316455538e-01,-3.397289826250938916e+01
-4.671270886075951645e-01,-3.324236842408424764e+01
-4.630179746835443866e-01,-3.260190074522151349e+01
-4.589088607594935532e-01,-3.267596559024828196e+01
-4.547997468354431638e-01,-3.304926414055813666e+01
-4.506906329113923859e-01,-3.293426059880565049e+01
-4.465815189873419966e-01,-3.307741742213259784e+01
-4.424724050632912187e-01,-3.329266616461379868e+01
-4.383632911392403853e-01,-3.204368160420963818e+01
-4.342541772151899959e-01,-2.994471685528635163e+01
-4.301450632911392180e-01,-2.815398371621954610e+01
-4.260359493670888287e-01,-2.690981837473447058e+01
-4.219268354430379953e-01,-2.523428917761007995e+01
-4.178177215189876059e-01,-2.412055612795971626e+01
-4.137086075949368280e-01,-2.365833915468962090e+01
-4.095994936708860501e-01,-2.333883831433618283e+01
-4.054903797468356608e-01,-2.280222724366012699e+01
-4.013812658227848273e-01,-2.214634532525773380e+01
-3.972721518987344380e-01,-2.129334475846403762e+01
-3.931630379746836601e-01,-2.072449624596026041e+01
-3.890539240506328267e-01,-2.015435806703245092e+01
-3.849448101265824373e-01,-1.938593932515316354e+01
-3.808356962025316594e-01,-1.942465727146740306e+01
-3.767265822784812701e-01,-1.856824305992935820e+01
-3.726174683544304922e-01,-1.821300946151491118e+01
-3.685083544303796588e-01,-1.728967648311686034e+01
-3.643992405063292694e-01,-1.721523510069749108e+01
-3.602901265822784915e-01,-1.684275293745567126e+01
-3.561810126582281022e-01,-1.641632946439382224e+01
-3.520718987341772688e-01,-1.570534640798040726e+01
-3.479627848101264909e-01,-1.491480496248387233e+01
-3.438536708860761015e-01,-1.511492965778956332e+01
-3.397445569620253236e-01,-1.477914152072028386e+01
-3.356354430379749343e-01,-1.427990850985908011e+01
-3.315263291139241009e-01,-1.326766393339413241e+01
-3.274172151898733230e-01,-1.240744898817766284e+01
-3.233081012658229336e-01,-1.187071984408383685e+01
-3.191989873417721002e-01,-1.154040946623547192e+01
-3.150898734177217109e-01,-1.107615278882044230e+01
-3.109807594936709330e-01,-1.067150899149525856e+01
-3.068716455696205436e-01,-1.034787828485706385e+01
-3.027625316455697657e-01,-1.003204244472894047e+01
-2.986534177215189323e-01,-9.816974230197301310e+00
-2.945443037974685430e-01,-9.551711630682923726e+00
-2.904351898734177650e-01,-9.327230177067638905e+00
-2.863260759493673757e-01,-9.080664943491035146e+00
-2.822169620253165423e-01,-8.894679911513190262e+00
-2.781078481012657644e-01,-8.707079860572155994e+00
-2.739987341772153751e-01,-8.554607538587088555e+00
-2.698896202531645971e-01,-8.415456334705298858e+00
-2.657805063291142078e-01,-8.281995530008199324e+00
-2.616713924050633744e-01,-8.137343844603782017e+00
-2.575622784810127630e-01,-8.009861770137817416e+00
-2.534531645569622071e-01,-7.882670237011500269e+00
-2.493440506329114015e-01,-7.758672126187791562e+00
-2.452349367088607901e-01,-7.639367394060647243e+00
-2.411258227848102065e-01,-7.516647975684794147e+00
-2.370167088607595951e-01,-7.366516105349354859e+00
-2.329075949367090115e-01,-7.207136181061557068e+00
-2.287984810126582058e-01,-7.050564671395599170e+00
-2.246893670886076222e-01,-6.892097830220002663e+00
-2.205802531645570108e-01,-6.704309152157177820e+00
-2.164711392405064272e-01,-6.507961481894549038e+00
-2.123620253164558436e-01,-6.309662501636061904e+00
-2.082529113924050379e-01,-6.100517706064376711e+00
-2.041437974683544265e-01,-5.880352501269764609e+00
-2.000346835443038429e-01,-5.664015323340128916e+00
-1.959255696202532593e-01,-5.443539765883614656e+00
-1.918164556962026479e-01,-5.175887037784017153e+00
-1.877073417721520643e-01,-4.915896768151303498e+00
-1.835982278481012586e-01,-4.678287048992091357e+00
-1.794891139240506750e-01,-4.433965625505210895e+00
-1.753800000000000636e-01,-4.188335866521588180e+00
-1.712708860759494800e-01,-3.968986926305031027e+00
-1.671617721518988686e-01,-3.758251842945414811e+00
-1.630526582278480907e-01,-3.540891496092749335e+00
-1.589435443037974793e-01,-3.375903542148007030e+00
-1.548344303797468957e-01,-3.241410165219164252e+00
-1.507253164556962843e-01,-3.104397263851209843e+00
-1.466162025316457007e-01,-2.940802574858040863e+00
-1.425070886075951171e-01,-2.792600225758370858e+00
-1.383979746835443114e-01,-2.667553710060050598e+00
-1.342888607594937000e-01,-2.548921000416056959e+00
-1.301797468354431164e-01,-2.433831459501590189e+00
-1.260706329113925328e-01,-2.325559201746088434e+00
-1.219615189873419353e-01,-2.232000016051919111e+00
-1.178524050632911296e-01,-2.161612261987950312e+00
-1.137432911392405321e-01,-2.094073670914793794e+00
-1.096341772151899346e-01,-2.023697178297519716e+00
-1.055250632911393510e-01,-1.950116081540989921e+00
-1.014159493670887535e-01,-1.869963144811710665e+00
-9.730683544303794785e-02,-1.800369000392491703e+00
-9.319772151898735035e-02,-1.733803336688251040e+00
-8.908860759493676673e-02,-1.680481841828766587e+00
-8.497949367088616923e-02,-1.622289614791160739e+00
-8.087037974683557173e-02,-1.558862302262221444e+00
-7.676126582278476607e-02,-1.505319347551499876e+00
-7.265215189873416857e-02,-1.439293599736742868e+00
