#x(nm),y(Hz)
-5.000000000000000000e-01,-3.457690419501246737e+01
-4.958908860759495552e-01,-3.429789251157232144e+01
-4.917817721518987217e-01,-3.423045551695552291e+01
-4.876726582278483324e-01,-3.398950749569603147e+01
-4.835635443037975545e-01,-3.389870853770224102e+01
-4.794544303797467211e-01,-3.395089586876787280e+01
-4.753453164556963872e-01,-3.394419531196024309e+01
-4.712362025316455538e-01,-3.417542518534268225e+01
-4.671270886075951645e-01,-3.329341197869709390e+01
-4.630179746835443866e-01,-3.230979628152712024e+01
-4.589088607594935532e-01,-3.283172682048626001e+01
-4.547997468354431638e-01,-3.305846691246014757e+01
-4.506906329113923859e-01,-3.300649422711086345e+01
-4.465815189873419966e-01,-3.279965210629063677e+01
-4.424724050632912187e-01,-3.340450955541248845e+01
-4.383632911392403853e-01,-3.254704022839985811e+01
-4.342541772151899959e-01,-2.925805733849416157e+01
-4.301450632911392180e-01,-2.844089138115606730e+01
-4.260359493670888287e-01,-2.698784515593733602e+01
-4.219268354430379953e-01,-2.513847755331582334e+01
-4.178177215189876059e-01,-2.404265991113616607e+01
-4.137086075949368280e-01,-2.373246128381003928e+01
-4.095994936708860501e-01,-2.333116152947435040e+01
-4.054903797468356608e-01,-2.282679867933750728e+01
-4.013812658227848273e-01,-2.211784827455319302e+01
-3.972721518987344380e-01,-2.138945260584446828e+01
-3.931630379746836601e-01,-2.049428837238139423e+01
-3.890539240506328267e-01,-2.040629049277241691e+01
-3.849448101265824373e-01,-1.941363536053920669e+01
-3.808356962025316594e-01,-1.874371100283637404e+01
-3.767265822784812701e-01,-1.994702585965568886e+01
-3.726174683544304922e-01,-1.662971523696023013e+01
-3.685083544303796588e-01,-1.848371377085357281e+01
-3.643992405063292694e-01,-1.672919014430135221e+01
-3.602901265822784915e-01,-1.651674806386415284e+01
-3.561810126582281022e-01,-1.732646674481426174e+01
-3.520718987341772688e-01,-1.483503521052291241e+01
-3.479627848101264909e-01,-1.533741075593312431e+01
-3.438536708860761015e-01,-1.497492003898381796e+01
-3.397445569620253236e-01,-1.481929064118851258e+01
-3.356354430379749343e-01,-1.430880459132702143e+01
-3.315263291139241009e-01,-1.335015032364183440e+01
-3.274172151898733230e-01,-1.218713722283473011e+01
-3.233081012658229336e-01,-1.202591589316400800e+01
-3.191989873417721002e-01,-1.150233300988707796e+01
-3.150898734177217109e-01,-1.106285582086335140e+01
-3.109807594936709330e-01,-1.070972624988763400e+01
-3.068716455696205436e-01,-1.029005492792198950e+01
-3.027625316455697657e-01,-1.009682050050617619e+01
-2.986534177215189323e-01,-9.748395782270755205e+00
-2.945443037974685430e-01,-9.618897571914041933e+00
-2.904351898734177650e-01,-9.282360775657963359e+00
-2.863260759493673757e-01,-9.096656280754142898e+00
