#x(nm),y(nN)
-5.000000000000000000e-01,-5.407489081361751104e+00
-4.958908860759495552e-01,-5.168788126643984349e+00
-4.917817721518987217e-01,-5.371458416044541551e+00
-4.876726582278483324e-01,-5.258972116671219332e+00
-4.835635443037975545e-01,-5.210614838787355652e+00
-4.794544303797467211e-01,-5.489048193914275231e+00
-4.753453164556963872e-01,-5.298078919396860265e+00
-4.712362025316455538e-01,-6.330463084181825018e+00
-4.671270886075951645e-01,-6.334172751258861922e+00
-4.630179746835443866e-01,-4.834430050865888617e+00
-4.589088607594935532e-01,-5.457466385269681197e+00
-4.547997468354431638e-01,-5.980316166965563340e+00
-4.506906329113923859e-01,-6.561518838950576082e+00
-4.465815189873419966e-01,-6.100417199400597568e+00
-4.424724050632912187e-01,-7.492272803815526849e+00
-4.383632911392403853e-01,-9.671840636516511935e+00
-4.342541772151899959e-01,-6.477170427622662707e+00
-4.301450632911392180e-01,-6.769581401893212558e+00
-4.260359493670888287e-01,-6.688918253734854602e+00
-4.219268354430379953e-01,-5.542552764732032067e+00
-4.178177215189876059e-01,-4.602051520363064974e+00
-4.137086075949368280e-01,-4.710580849690469307e+00
-4.095994936708860501e-01,-4.770261164242984187e+00
-4.054903797468356608e-01,-4.879902602821655222e+00
-4.013812658227848273e-01,-4.694770268950197334e+00
-3.972721518987344380e-01,-4.787250961417153228e+00
-3.931630379746836601e-01,-3.769629024845919663e+00
-3.890539240506328267e-01,-4.578023075016712795e+00
-3.849448101265824373e-01,-4.412214407385216752e+00
-3.808356962025316594e-01,-2.053589665131784869e+00
-3.767265822784812701e-01,-7.043374577198618702e+00
-3.726174683544304922e-01,-1.126494348841659443e+00
-3.685083544303796588e-01,-5.094690043715646155e+00
-3.643992405063292694e-01,-3.482732245685795647e+00
-3.602901265822784915e-01,-2.210155386681394774e+00
-3.561810126582281022e-01,-5.691322747355759049e+00
-3.520718987341772688e-01,-2.245442110619780163e+00
-3.479627848101264909e-01,-3.341894839036552156e+00
-3.438536708860761015e-01,-3.155610635793728136e+00
-3.397445569620253236e-01,-3.469039201759355873e+00
-3.356354430379749343e-01,-3.663868833343193909e+00
-3.315263291139241009e-01,-3.643604171699476701e+00
-3.274172151898733230e-01,-2.389244554872194559e+00
-3.233081012658229336e-01,-2.701964839325171841e+00
-3.191989873417721002e-01,-2.498209759114151218e+00
-3.150898734177217109e-01,-2.294153842790227937e+00
-3.109807594936709330e-01,-2.291388648188499744e+00
-3.068716455696205436e-01,-1.965468999010399065e+00
-3.027625316455697657e-01,-2.097955984377931404e+00
-2.986534177215189323e-01,-1.798748572784777844e+00
-2.945443037974685430e-01,-1.978286242435659759e+00
-2.904351898734177650e-01,-1.759391505201069350e+00
-2.863260759493673757e-01,-1.736498461928357884e+00
-2.822169620253165423e-01,-1.694478839048563668e+00
-2.781078481012657644e-01,-1.623179234438377527e+00
-2.739987341772153751e-01,-1.580923254646385612e+00
-2.698896202531645971e-01,-1.597864741567781577e+00
-2.657805063291142078e-01,-1.542069135305427441e+00
-2.616713924050633744e-01,-1.572263289887824378e+00
-2.575622784810127630e-01,-1.506943253203252508e+00
-2.534531645569622071e-01,-1.532728435998576666e+00
-2.493440506329114015e-01,-1.535654252359878402e+00
-2.452349367088607901e-01,-1.491446421627788732e+00
-2.411258227848102065e-01,-1.561446183984465108e+00
-2.370167088607595951e-01,-1.557752503700905233e+00
-2.329075949367090115e-01,-1.496519126749394912e+00
-2.287984810126582058e-01,-1.558833513376111091e+00
-2.246893670886076222e-01,-1.511472948455741649e+00
-2.205802531645570108e-01,-1.539299710189356185e+00
-2.164711392405064272e-01,-1.514130454385592017e+00
-2.123620253164558436e-01,-1.459245054491985272e+00
-2.082529113924050379e-01,-1.505422489822720644e+00
-2.041437974683544265e-01,-1.428636043540765233e+00
-2.000346835443038429e-01,-1.388889541684751983e+00
-1.959255696202532593e-01,-1.421842810181007888e+00
-1.918164556962026479e-01,-1.367749468079395569e+00
-1.877073417721520643e-01,-1.227328453371875572e+00
-1.835982278481012586e-01,-1.248096339092277018e+00
-1.794891139240506750e-01,-1.178131121433461104e+00
-1.753800000000000636e-01,-1.059730846443728725e+00
-1.712708860759494800e-01,-1.043625122398675442e+00
-1.671617721518988686e-01,-9.646872609329223414e-01
-1.630526582278480907e-01,-9.058186451650800386e-01
-1.589435443037974793e-01,-7.881888297319049608e-01
-1.548344303797468957e-01,-8.110230975953661714e-01
-1.507253164556962843e-01,-7.874895301381190649e-01
-1.466162025316457007e-01,-7.327835644636079282e-01
-1.425070886075951171e-01,-6.751731597943229080e-01
-1.383979746835443114e-01,-6.366568405573095335e-01
-1.342888607594937000e-01,-6.186614142240262071e-01
-1.301797468354431164e-01,-5.667811570327249138e-01
-1.260706329113925328e-01,-5.394469236116228306e-01
-1.219615189873419353e-01,-5.059828699819426401e-01
-1.178524050632911296e-01,-4.603986441680862352e-01
-1.137432911392405321e-01,-4.973586413623625191e-01
-1.096341772151899346e-01,-4.512633704590633399e-01
-1.055250632911393510e-01,-4.375803524695863200e-01
-1.014159493670887535e-01,-4.590632492689371014e-01
-9.730683544303794785e-02,-3.611238423804686293e-01
-9.319772151898735035e-02,-4.140086745355769926e-01
-8.908860759493676673e-02,-3.626601258757247703e-01
-8.497949367088616923e-02,-3.469683504557486975e-01
-8.087037974683557173e-02,-3.851163750678677777e-01
-7.676126582278476607e-02,-2.766983413636802114e-01
-7.265215189873416857e-02,-3.605053452034400752e-01
-6.854303797468358495e-02,-2.467132446071671759e-01
-6.443392405063298745e-02,-3.016991752079744571e-01
-6.032481012658238995e-02,-2.533049226681451938e-01
-5.621569620253179939e-02,-2.585932131214059848e-01
-5.210658227848099372e-02,-2.863964080698624404e-01
-4.799746835443040316e-02,-2.046560397859760738e-01
-4.388835443037980566e-02,-2.574518041953388070e-01
-3.977924050632921510e-02,-2.179104229837971196e-01
-3.567012658227861760e-02,-2.386980265278541291e-01
-3.156101265822781887e-02,-1.825820612211964400e-01
-2.745189873417722137e-02,-2.319173849150321098e-01
-2.334278481012662734e-02,-1.928104272036180178e-01
-1.923367088607603331e-02,-1.972875095496778586e-01
-1.512455696202543928e-02,-1.566611034611233022e-01
-1.101544303797484525e-02,-2.061936980893524229e-01
-6.906329113924043923e-03,-1.970983325282868737e-01
-2.797215189873449026e-03,-1.976618211984733919e-01
1.311898734177145438e-03,-1.950827761009211736e-01
5.421012658227739901e-03,-1.503335427381539136e-01
9.530126582278334799e-03,-1.697404371969165049e-01
1.363924050632913526e-02,-1.732236390541835869e-01
1.774835443037972929e-02,-1.545291733811943180e-01
2.185746835443032332e-02,-1.628014457899286394e-01
2.596658227848091735e-02,-1.330427020684652462e-01
3.007569620253151485e-02,-1.552199988113577012e-01
3.418481012658231705e-02,-1.352888255426103747e-01
3.829392405063290761e-02,-1.464925697208581956e-01
4.240303797468350511e-02,-1.404910745779969217e-01
4.651215189873409567e-02,-1.410620172227053104e-01
5.062126582278469317e-02,-1.399184059433006277e-01
5.473037974683549189e-02,-1.648153337252020456e-01
5.883949367088608939e-02,-9.339522757560343724e-02
6.294860759493668689e-02,-1.366862971390197523e-01
6.705772151898727051e-02,-1.631773928800603624e-01
7.116683544303786801e-02,-1.082736944459283257e-01
7.527594936708846551e-02,-1.513526563408253978e-01
7.938506329113927118e-02,-1.219047350170054250e-01
8.349417721518985480e-02,-1.119229021301414023e-01
8.760329113924045230e-02,-1.519709199583165193e-01
9.171240506329104980e-02,-1.114407406519232896e-01
9.582151898734164730e-02,-1.262785725309601426e-01
9.993063291139245297e-02,-9.829414897363207559e-02
1.040397468354430366e-01,-1.205994743817965231e-01
1.081488607594936341e-01,-1.002634085298391153e-01
1.122579746835442316e-01,-1.211858113800062947e-01
1.163670886075948291e-01,-1.138069099004587470e-01
1.204762025316454127e-01,-1.238225472782118336e-01
1.245853164556962184e-01,-8.035782002055046058e-02
1.286944303797468159e-01,-1.286655495718387332e-01
1.328035443037973995e-01,-8.356320305010592198e-02
1.369126582278480109e-01,-1.169138198000566897e-01
1.410217721518985945e-01,-8.252006907188974560e-02
1.451308860759494002e-01,-8.691418755184800171e-02
1.492399999999999838e-01,-1.216644531312478655e-01
1.533491139240505952e-01,-4.679869293788632700e-02
1.574582278481011788e-01,-1.113092883963365948e-01
1.615673417721517902e-01,-8.478526693757586219e-02
1.656764556962025681e-01,-8.951029252654273127e-02
1.697855696202531794e-01,-6.424694222194128612e-02
1.738946835443037631e-01,-9.047098910422238238e-02
1.780037974683543744e-01,-8.367014622793494949e-02
1.821129113924049581e-01,-9.204204459539180871e-02
1.862220253164557637e-01,-5.455662407326102720e-02
