#x(nm),y(nN)
-5.000000000000000000e-01,-5.347501766836824544e+00
-4.958908860759495552e-01,-5.277739699744762980e+00
-4.917817721518987217e-01,-5.274148911665779593e+00
-4.876726582278483324e-01,-5.269014437530432637e+00
-4.835635443037975545e-01,-5.301419850748313678e+00
-4.794544303797467211e-01,-5.275755747291388076e+00
-4.753453164556963872e-01,-5.636249375180831578e+00
-4.712362025316455538e-01,-6.178173521584112038e+00
-4.671270886075951645e-01,-5.982703873421796992e+00
-4.630179746835443866e-01,-5.335836040774680100e+00
-4.589088607594935532e-01,-5.253383676025384474e+00
-4.547997468354431638e-01,-6.088293646898820910e+00
-4.506906329113923859e-01,-6.219057901558605828e+00
-4.465815189873419966e-01,-6.439935621734166560e+00
-4.424724050632912187e-01,-7.929179730686415795e+00
-4.383632911392403853e-01,-8.384178345333173965e+00
-4.342541772151899959e-01,-7.567629099139195681e+00
-4.301450632911392180e-01,-6.498125695463288665e+00
-4.260359493670888287e-01,-6.520605360997965505e+00
-4.219268354430379953e-01,-5.579319495290175901e+00
-4.178177215189876059e-01,-4.768473640142588010e+00
-4.137086075949368280e-01,-4.608054246898868556e+00
-4.095994936708860501e-01,-4.808326159655310406e+00
-4.054903797468356608e-01,-4.801339068603674320e+00
-4.013812658227848273e-01,-4.862825994959981912e+00
-3.972721518987344380e-01,-4.416683587108272135e+00
-3.931630379746836601e-01,-4.261362120377620855e+00
-3.890539240506328267e-01,-4.442503989720397506e+00
-3.849448101265824373e-01,-3.489989621125087815e+00
-3.808356962025316594e-01,-4.436176893556548428e+00
-3.767265822784812701e-01,-3.696551878327287266e+00
-3.726174683544304922e-01,-4.234281955991939128e+00
-3.685083544303796588e-01,-3.261757614236146186e+00
-3.643992405063292694e-01,-3.611794293488884477e+00
-3.602901265822784915e-01,-3.589787570246066206e+00
-3.561810126582281022e-01,-3.707069630505487101e+00
-3.520718987341772688e-01,-3.727871206346203170e+00
-3.479627848101264909e-01,-2.689869270688743708e+00
-3.438536708860761015e-01,-3.361437808602491639e+00
-3.397445569620253236e-01,-3.424359760053410362e+00
-3.356354430379749343e-01,-3.742988439886036467e+00
-3.315263291139241009e-01,-3.316208329274891842e+00
-3.274172151898733230e-01,-2.807983531842736635e+00
-3.233081012658229336e-01,-2.479178730903600858e+00
-3.191989873417721002e-01,-2.525221938215421957e+00
-3.150898734177217109e-01,-2.356433537994913952e+00
-3.109807594936709330e-01,-2.179493279977285258e+00
-3.068716455696205436e-01,-2.108802400599679938e+00
-3.027625316455697657e-01,-1.943672068814404907e+00
-2.986534177215189323e-01,-1.952021063639419074e+00
-2.945443037974685430e-01,-1.852196337188191544e+00
-2.904351898734177650e-01,-1.828830848480302640e+00
-2.863260759493673757e-01,-1.718977521681671838e+00
-2.822169620253165423e-01,-1.688657767614980099e+00
-2.781078481012657644e-01,-1.625642224322060736e+00
-2.739987341772153751e-01,-1.594865037203426317e+00
-2.698896202531645971e-01,-1.572999449583535103e+00
-2.657805063291142078e-01,-1.571280372021045535e+00
-2.616713924050633744e-01,-1.540758507844188108e+00
-2.575622784810127630e-01,-1.532756297877844620e+00
-2.534531645569622071e-01,-1.525089450873908126e+00
-2.493440506329114015e-01,-1.519793159299148266e+00
-2.452349367088607901e-01,-1.521430336153279717e+00
-2.411258227848102065e-01,-1.544004690187638307e+00
-2.370167088607595951e-01,-1.543664298194654450e+00
-2.329075949367090115e-01,-1.532080451620028594e+00
-2.287984810126582058e-01,-1.523046735234312221e+00
-2.246893670886076222e-01,-1.538354563292624766e+00
-2.205802531645570108e-01,-1.526366336268499602e+00
-2.164711392405064272e-01,-1.504965487761952936e+00
-2.123620253164558436e-01,-1.489706268802297950e+00
-2.082529113924050379e-01,-1.472554938879938824e+00
-2.041437974683544265e-01,-1.439343508849697972e+00
-2.000346835443038429e-01,-1.405688108902289679e+00
-1.959255696202532593e-01,-1.408138159562928315e+00
-1.918164556962026479e-01,-1.346644960651292688e+00
-1.877073417721520643e-01,-1.270187106011608780e+00
-1.835982278481012586e-01,-1.222927165830707485e+00
-1.794891139240506750e-01,-1.168886732265721706e+00
-1.753800000000000636e-01,-1.086854044816015552e+00
-1.712708860759494800e-01,-1.022415431909758921e+00
-1.671617721518988686e-01,-9.785999047613394008e-01
-1.630526582278480907e-01,-8.820352700736774354e-01
-1.589435443037974793e-01,-8.213294776404844733e-01
-1.548344303797468957e-01,-7.937565555178293097e-01
-1.507253164556962843e-01,-7.864191746415374329e-01
-1.466162025316457007e-01,-7.333711491800540827e-01
-1.425070886075951171e-01,-6.769867128084622321e-01
-1.383979746835443114e-01,-6.414928076869221840e-01
-1.342888607594937000e-01,-6.090400879151144364e-01
-1.301797468354431164e-01,-5.744693134914776733e-01
-1.260706329113925328e-01,-5.373815229688657658e-01
-1.219615189873419353e-01,-4.974058783456919985e-01
-1.178524050632911296e-01,-4.827575950635210056e-01
-1.137432911392405321e-01,-4.733178608435054668e-01
-1.096341772151899346e-01,-4.609752961426424323e-01
-1.055250632911393510e-01,-4.511175974273359257e-01
-1.014159493670887535e-01,-4.226996997678985069e-01
-9.730683544303794785e-02,-4.062008328146800018e-01
-9.319772151898735035e-02,-3.802069885296405771e-01
-8.908860759493676673e-02,-3.731432068825088488e-01
-8.497949367088616923e-02,-3.657556435600050615e-01
-8.087037974683557173e-02,-3.389506578760663746e-01
-7.676126582278476607e-02,-3.392023025087261279e-01
-7.265215189873416857e-02,-2.957393814138848387e-01
-6.854303797468358495e-02,-3.014961969449340140e-01
-6.443392405063298745e-02,-2.649602223595424744e-01
-6.032481012658238995e-02,-2.694904301989931583e-01
-5.621569620253179939e-02,-2.672925377941408054e-01
-5.210658227848099372e-02,-2.542075966220654348e-01
-4.799746835443040316e-02,-2.450751036643948055e-01
-4.388835443037980566e-02,-2.249715847111606049e-01
-3.977924050632921510e-02,-2.428106754291810832e-01
-3.567012658227861760e-02,-2.113566778778136479e-01
-3.156101265822781887e-02,-2.148838490181578798e-01
-2.745189873417722137e-02,-2.040333814177006655e-01
-2.334278481012662734e-02,-2.117808093969921202e-01
-1.923367088607603331e-02,-1.781439111600151004e-01
-1.512455696202543928e-02,-1.810603820494801064e-01
-1.101544303797484525e-02,-1.876396230711529500e-01
-6.906329113924043923e-03,-2.041010644247412131e-01
-2.797215189873449026e-03,-1.999621676640596368e-01
1.311898734177145438e-03,-1.826763115779505009e-01
5.421012658227739901e-03,-1.663637255567391726e-01
9.530126582278334799e-03,-1.634650885510051388e-01
