#x(nm),y(nN)
-4.799999999999999822e-01,-5.117239827795434515e+00
-4.759299999999997977e-01,-5.222379059178855698e+00
-4.718599999999998351e-01,-5.250072585804146819e+00
-4.677899999999998726e-01,-5.147436911978946483e+00
-4.637199999999999100e-01,-5.499681420818493649e+00
-4.596499999999999475e-01,-4.797320954193433629e+00
-4.555799999999995964e-01,-5.133463815494256899e+00
-4.515099999999996339e-01,-5.731542506108127988e+00
-4.474399999999996713e-01,-6.984189964222624170e+00
-4.433699999999996533e-01,-6.570484978517928454e+00
-4.392999999999996907e-01,-6.179306614593646607e+00
-4.352299999999997282e-01,-5.756875700065129386e+00
-4.311599999999997657e-01,-5.862339938258109839e+00
-4.270899999999998031e-01,-5.923242794245249243e+00
-4.230199999999998406e-01,-5.856504976617786795e+00
-4.189499999999998781e-01,-6.386338780365975687e+00
-4.148799999999999155e-01,-6.480922156008465329e+00
-4.108099999999999530e-01,-3.854536360661467764e+00
-4.067399999999995464e-01,-1.230505627594459472e+00
-4.026699999999995838e-01,-1.483070253762907242e+00
-3.985999999999996213e-01,-4.124732132218119851e+00
-3.945299999999996587e-01,-5.176649932892988026e+00
-3.904599999999996962e-01,-4.586058199976754679e+00
-3.863899999999997337e-01,-3.590727235583714094e+00
-3.823199999999997711e-01,-3.328004722442285068e+00
-3.782499999999998086e-01,-3.493322439788014488e+00
-3.741799999999998461e-01,-3.301102469100510639e+00
-3.701099999999998835e-01,-3.046003809558478714e+00
-3.660399999999999210e-01,-3.284689563268134993e+00
-3.619699999999999585e-01,-3.374766739503614499e+00
-3.578999999999999959e-01,-3.321560196844208335e+00
-3.538299999999995893e-01,-3.277321125673648528e+00
-3.497599999999996268e-01,-3.350062428163944617e+00
-3.456899999999996642e-01,-3.268765538845589180e+00
-3.416199999999997017e-01,-3.167028077407392228e+00
-3.375499999999997391e-01,-3.143635493312698426e+00
-3.334799999999997766e-01,-3.182141952034055254e+00
-3.294099999999998141e-01,-3.401177079842220508e+00
-3.253399999999998515e-01,-3.485113235735920689e+00
-3.212699999999998890e-01,-3.583144888674292261e+00
-3.171999999999998709e-01,-3.619057769548994496e+00
-3.131299999999999084e-01,-3.655690720353798273e+00
-3.090599999999999459e-01,-3.508859086580600195e+00
-3.049899999999995948e-01,-3.265058867113975083e+00
-3.009199999999996322e-01,-3.258614458188868301e+00
-2.968499999999996697e-01,-3.313881631011946105e+00
-2.927799999999997071e-01,-3.521414483328269451e+00
-2.887099999999997446e-01,-3.650447199993120506e+00
-2.846399999999997266e-01,-3.890031564667657982e+00
-2.805699999999997640e-01,-3.974292008200273507e+00
-2.764999999999998015e-01,-4.043871007194061562e+00
-2.724299999999998390e-01,-3.966600920792333174e+00
-2.683599999999998764e-01,-3.818888103992716498e+00
-2.642899999999999139e-01,-3.631217759905772891e+00
-2.602199999999997293e-01,-3.427685448036307481e+00
-2.561499999999997668e-01,-3.352762305329960668e+00
-2.520799999999998042e-01,-3.116079258760059645e+00
-2.480099999999998417e-01,-2.931925108067574115e+00
-2.439399999999998792e-01,-2.653367732568006065e+00
-2.398699999999997223e-01,-2.447761501319054123e+00
-2.357999999999997320e-01,-2.151930858921054401e+00
-2.317299999999997695e-01,-2.005073712458826929e+00
-2.276599999999998070e-01,-1.927330716073197170e+00
-2.235899999999998444e-01,-1.762791069546646661e+00
-2.195199999999998819e-01,-1.615702943892267207e+00
-2.154499999999996973e-01,-1.531637508850443252e+00
-2.113799999999997348e-01,-1.512747971283679771e+00
-2.073099999999997722e-01,-1.469879702890088735e+00
-2.032399999999998097e-01,-1.453114722556266392e+00
-1.991699999999998472e-01,-1.437676210793320086e+00
-1.950999999999998846e-01,-1.447759219320221558e+00
-1.910299999999997000e-01,-1.448285721343142152e+00
-1.869599999999997375e-01,-1.451998568400487244e+00
-1.828899999999997750e-01,-1.495655407673283532e+00
-1.788199999999998124e-01,-1.506938089670529335e+00
-1.747499999999998221e-01,-1.559011398089573230e+00
-1.706799999999998596e-01,-1.550629936098493200e+00
-1.666099999999998971e-01,-1.555373635349035499e+00
-1.625399999999997402e-01,-1.541659089708194763e+00
-1.584699999999997777e-01,-1.516744533406992224e+00
-1.543999999999997874e-01,-1.401917727703309469e+00
-1.503299999999998249e-01,-1.348543366335652305e+00
-1.462599999999998623e-01,-1.289481858945549675e+00
-1.421899999999998998e-01,-1.154766711667731816e+00
