#x(nm),y(nN)
-4.400000000000000577e-01,-7.533894894915269091e+00
-4.360084810126583776e-01,-4.084337825297729374e+00
-4.320169620253165865e-01,-3.861588517362694262e+00
-4.280254430379748509e-01,-4.083800060768501439e+00
-4.240339240506330598e-01,-4.070339214465642286e+00
-4.200424050632913242e-01,-4.229232625331656337e+00
-4.160508860759495331e-01,-4.453095976304529913e+00
-4.120593670886077420e-01,-4.586868456702836383e+00
-4.080678481012660064e-01,-4.733896743163889198e+00
-4.040763291139242153e-01,-4.855809850206191491e+00
-4.000848101265824797e-01,-4.819943027677304315e+00
-3.960932911392406885e-01,-4.716334942762468785e+00
-3.921017721518989529e-01,-4.576263115918378865e+00
-3.881102531645571618e-01,-4.497083384408639084e+00
-3.841187341772154262e-01,-4.317100215284362719e+00
-3.801272151898736351e-01,-4.244909313538423490e+00
-3.761356962025318440e-01,-4.258386355659959932e+00
-3.721441772151901084e-01,-4.287072154499193211e+00
-3.681526582278483173e-01,-4.461472749530769555e+00
-3.641611392405065817e-01,-4.533414264275134720e+00
-3.601696202531647906e-01,-4.804572646150068849e+00
-3.561781012658230550e-01,-4.904530661594972862e+00
-3.521865822784812639e-01,-5.128530266008404226e+00
-3.481950632911394727e-01,-4.763742378883459416e+00
-3.442035443037977371e-01,-4.872767728021400124e+00
-3.402120253164559460e-01,-4.762442014886638653e+00
-3.362205063291142104e-01,-4.889886106416650335e+00
-3.322289873417724193e-01,-3.894100938730204131e+00
-3.282374683544306837e-01,-3.263887817961156124e+00
-3.242459493670888926e-01,-3.298549562490646458e+00
-3.202544303797471570e-01,-3.398896833627016445e+00
-3.162629113924053659e-01,-3.443697758473882153e+00
-3.122713924050635748e-01,-3.446788933041319059e+00
-3.082798734177218392e-01,-3.534825923947045645e+00
-3.042883544303800480e-01,-3.548026401688035847e+00
-3.002968354430383124e-01,-3.574775334710747821e+00
-2.963053164556961327e-01,-3.547013169972161428e+00
-2.923137974683543416e-01,-3.603114202556310985e+00
-2.883222784810126060e-01,-3.619292742084478487e+00
-2.843307594936708149e-01,-3.634755052572225420e+00
-2.803392405063290793e-01,-3.318872259357750210e+00
-2.763477215189872882e-01,-2.738132791514448883e+00
-2.723562025316454971e-01,-2.576446285140440384e+00
-2.683646835443037615e-01,-2.578542043861126398e+00
-2.643731645569619704e-01,-2.700664342630451742e+00
-2.603816455696204013e-01,-2.800079100784169217e+00
