#x(nm),y(nN)
-4.600000000000000755e-01,-6.481655749525574883e+00
-4.559691139240511504e-01,-7.071863700856137136e+00
-4.519382278481016146e-01,-8.654823849852055773e+00
-4.479073417721524675e-01,-9.288739946861202412e+00
-4.438764556962029317e-01,-9.523558092540838516e+00
-4.398455696202537846e-01,-7.640914337685760671e+00
-4.358146835443042488e-01,-7.151009089652013984e+00
-4.317837974683547131e-01,-7.071724051186088822e+00
-4.277529113924055659e-01,-6.873830090364863032e+00
-4.237220253164560302e-01,-6.193758960070220532e+00
-4.196911392405068830e-01,-5.814525705559726809e+00
-4.156602531645573473e-01,-5.577391981687234157e+00
-4.116293670886082001e-01,-5.410846045013602001e+00
-4.075984810126586644e-01,-5.329518997833511129e+00
-4.035675949367091286e-01,-5.437352153758019391e+00
-3.995367088607599815e-01,-5.530842733440969994e+00
-3.955058227848104457e-01,-4.935176155301717493e+00
-3.914749367088612986e-01,-5.989428522864781002e+00
-3.874440506329117628e-01,-6.088890253044906942e+00
-3.834131645569626157e-01,-5.236016325205526734e+00
-3.793822784810130799e-01,-3.221636173556470695e+00
-3.753513924050635442e-01,-3.338721670845135936e+00
-3.713205063291143970e-01,-3.096317278966792763e+00
-3.672896202531648613e-01,-2.935923279799994123e+00
-3.632587341772157696e-01,-2.612663871429491191e+00
-3.592278481012661784e-01,-2.726168528626513599e+00
-3.551969620253170867e-01,-4.323211831730352728e+00
-3.511660759493674955e-01,-4.424854962988839624e+00
-3.471351898734179597e-01,-3.059589415709377036e+00
-3.431043037974688681e-01,-1.355320461141860999e+00
-3.390734177215192768e-01,-1.610226671534202625e+00
-3.350425316455701852e-01,-1.576563296620166588e+00
-3.310116455696206494e-01,-1.524411913109592565e+00
-3.269807594936715023e-01,-1.461924187760573313e+00
-3.229498734177219665e-01,-1.387286111400039434e+00
-3.189189873417724308e-01,-1.355348260247197123e+00
-3.148881012658232836e-01,-1.339375270134790075e+00
-3.108572151898737479e-01,-1.267078903676446933e+00
-3.068263291139246007e-01,-1.219985781506766953e+00
-3.027954430379750650e-01,-1.185625080344174576e+00
-2.987645569620259178e-01,-1.162007114612783054e+00
-2.947336708860763821e-01,-1.128408766212751102e+00
-2.907027848101268463e-01,-1.079698213454030054e+00
-2.866718987341776992e-01,-1.033290718709417355e+00
-2.826410126582281634e-01,-1.011842206411390555e+00
-2.786101265822790163e-01,-9.706541970000637232e-01
-2.745792405063294805e-01,-9.256322310438152012e-01
-2.705483544303803334e-01,-8.733015977403538743e-01
-2.665174683544307976e-01,-8.564380891125263906e-01
-2.624865822784814839e-01,-8.194254691190764328e-01
-2.584556962025321147e-01,-8.199524626503769120e-01
-2.544248101265825790e-01,-7.620995837108075488e-01
-2.503939240506332653e-01,-7.400745369957454356e-01
-2.463630379746838961e-01,-7.100919753706843585e-01
-2.423321518987345546e-01,-7.294725947569296043e-01
-2.383012658227852409e-01,-7.012857260233811285e-01
-2.342703797468358995e-01,-6.915677432346490905e-01
-2.302394936708865580e-01,-6.785379906764384961e-01
-2.262086075949369945e-01,-6.569105145570169890e-01
-2.221777215189876808e-01,-6.226588337305883902e-01
-2.181468354430383394e-01,-5.976002272489421285e-01
-2.141159493670889979e-01,-5.808325904692689390e-01
-2.100850632911396565e-01,-5.678067587076467415e-01
-2.060541772151903150e-01,-5.421004004688625422e-01
-2.020232911392409736e-01,-5.460919328282327623e-01
-1.979924050632914379e-01,-5.218491603755383013e-01
-1.939615189873420964e-01,-5.110457352230135530e-01
-1.899306329113927549e-01,-4.833653739454728537e-01
-1.858997468354434135e-01,-4.971494230133641778e-01
-1.818688607594940720e-01,-4.665150556138005222e-01
-1.778379746835447306e-01,-4.621962398234453206e-01
-1.738070886075954169e-01,-4.449377689760348753e-01
-1.697762025316458534e-01,-4.384280066622413541e-01
-1.657453164556965119e-01,-4.333778234932966211e-01
-1.617144303797471705e-01,-4.110468904102799192e-01
-1.576835443037978568e-01,-4.156272472306349330e-01
-1.536526582278485153e-01,-3.748861237829694271e-01
-1.496217721518991739e-01,-3.878781155815719250e-01
-1.455908860759498324e-01,-3.612702120826039032e-01
-1.415600000000002967e-01,-3.663319004088560482e-01
-1.375291139240509553e-01,-3.542702527919917577e-01
-1.334982278481016138e-01,-3.448260679752588320e-01
-1.294673417721522724e-01,-3.609830331231769218e-01
-1.254364556962029309e-01,-3.340018229793531579e-01
-1.214055696202535894e-01,-3.297193768372185252e-01
-1.173746835443042619e-01,-3.081525509846878563e-01
-1.133437974683547123e-01,-3.183854241014634212e-01
-1.093129113924053708e-01,-3.131942497764604316e-01
-1.052820253164560294e-01,-3.002140918833338112e-01
-1.012511392405067018e-01,-2.984011681544195826e-01
-9.722025316455736033e-02,-2.970983266271124967e-01
-9.318936708860801887e-02,-2.854569793795929677e-01
-8.915848101265867742e-02,-2.800857309681648588e-01
-8.512759493670914168e-02,-2.641236390492062713e-01
-8.109670886075980023e-02,-2.691480490485836929e-01
-7.706582278481045878e-02,-2.664925738032973279e-01
-7.303493670886111733e-02,-2.681815110838388638e-01
-6.900405063291178975e-02,-2.532980204756852816e-01
-6.497316455696244830e-02,-2.267646240326938734e-01
-6.094227848101310685e-02,-2.489055272424358645e-01
-5.691139240506356417e-02,-2.340223257822938163e-01
-5.288050632911422272e-02,-2.447717167611900557e-01
-4.884962025316488821e-02,-2.176198633261301196e-01
-4.481873417721554675e-02,-2.286507308059976262e-01
-4.078784810126621224e-02,-2.197512994268786823e-01
-3.675696202531687079e-02,-2.157300876796238720e-01
-3.272607594936753628e-02,-2.075716133585185641e-01
-2.869518987341799013e-02,-2.092657138725035892e-01
-2.466430379746865215e-02,-2.095397932339047586e-01
-2.063341772151931416e-02,-1.940475638650497603e-01
-1.660253164556997618e-02,-1.905373752159279510e-01
-1.257164556962063647e-02,-1.824702020437270200e-01
-8.540759493671298483e-03,-1.826143644337720473e-01
-4.509873417721960501e-03,-1.993031482943481703e-01
-4.789873417724155443e-04,-1.911079557557982533e-01
3.551898734176922763e-03,-1.759029625657366480e-01
7.582784810126260745e-03,-1.641145902200525919e-01
1.161367088607559959e-02,-1.836718780992515898e-01
1.564455696202493584e-02,-1.781143824183084312e-01
1.967544303797427382e-02,-1.872380096794349635e-01
2.370632911392361181e-02,-1.651770038200869317e-01
2.773721518987315796e-02,-1.727480205283825898e-01
3.176810126582249594e-02,-1.512489599907378413e-01
3.579898734177183739e-02,-1.627111272551597931e-01
3.982987341772117190e-02,-1.450794048638567313e-01
4.386075949367051335e-02,-1.743549602233448181e-01
4.789164556961984787e-02,-1.392702413764510538e-01
5.192253164556918932e-02,-1.538917821416066478e-01
5.595341772151873200e-02,-1.467260267035131183e-01
5.998430379746807345e-02,-1.590930941708998680e-01
6.401518987341740796e-02,-1.379740740425268175e-01
6.804607594936674941e-02,-1.577746860960834718e-01
7.207696202531609087e-02,-1.433464095430949103e-01
7.610784810126541844e-02,-1.392645382595809056e-01
8.013873417721496806e-02,-1.494791977200260191e-01
8.416962025316430951e-02,-1.437583218029437060e-01
8.820050632911363708e-02,-1.434056036222019770e-01
9.223139240506297853e-02,-1.331732416797539176e-01
9.626227848101231999e-02,-1.336627438030809356e-01
1.002931645569616614e-01,-1.219424467838304826e-01
1.043240506329110029e-01,-1.255280508134366535e-01
1.083549367088605386e-01,-1.339688203478499595e-01
1.123858227848098801e-01,-1.204562903526427697e-01
1.164167088607592215e-01,-1.254461781729639958e-01
1.204475949367085491e-01,-1.146937932463349408e-01
1.244784810126578906e-01,-1.332458321900223674e-01
1.285093670886072459e-01,-1.162439888651843334e-01
1.325402531645565596e-01,-1.174878564944466519e-01
1.365711392405061231e-01,-1.240693354964256534e-01
1.406020253164554645e-01,-1.199650621733277661e-01
1.446329113924047782e-01,-1.163721449784231032e-01
1.486637974683541197e-01,-1.107003636084520487e-01
1.526946835443034611e-01,-9.380439106731837395e-02
1.567255696202528026e-01,-9.439774522921247357e-02
1.607564556962021440e-01,-1.166165286259248507e-01
1.647873417721516798e-01,-1.107399038489375320e-01
1.688182278481010212e-01,-1.014691923363223724e-01
1.728491139240503627e-01,-9.419088647068714348e-02
1.768799999999997041e-01,-1.054352109460373749e-01
1.809108860759490456e-01,-9.016855492802178240e-02
1.849417721518983870e-01,-9.537642156574951957e-02
1.889726582278477285e-01,-9.429365206062007010e-02
1.930035443037972642e-01,-8.588077152729040042e-02
1.970344303797466057e-01,-9.138158779105134966e-02
2.010653164556959471e-01,-7.678927291404637201e-02
2.050962025316452886e-01,-8.635286361627379781e-02
2.091270886075946023e-01,-7.176639280212322725e-02
2.131579746835439437e-01,-9.014777928665097806e-02
2.171888607594932852e-01,-7.190232466544767276e-02
2.212197468354428487e-01,-8.022430056371676610e-02
2.252506329113921624e-01,-7.460754186624241058e-02
2.292815189873415038e-01,-7.701757075397863694e-02
2.333124050632908453e-01,-7.260984660749009167e-02
2.373432911392401867e-01,-7.216326958358364185e-02
2.413741772151895282e-01,-5.028754318015927344e-02
2.454050632911388696e-01,-7.060934564204383868e-02
2.494359493670884054e-01,-7.946683748627562938e-02
2.534668354430377746e-01,-7.064200233460124490e-02
2.574977215189870883e-01,-5.008869266244319468e-02
2.615286075949364020e-01,-6.729943720244180305e-02
2.655594936708857712e-01,-7.431828696976203186e-02
2.695903797468350849e-01,-6.347738666747683445e-02
2.736212658227844541e-01,-7.102729811226900225e-02
2.776521518987339898e-01,-5.792350541422353755e-02
2.816830379746833035e-01,-7.600674162612740259e-02
2.857139240506326727e-01,-6.450214272603993493e-02
2.897448101265819864e-01,-7.268402999630046990e-02
2.937756962025313556e-01,-4.626085860981853093e-02
2.978065822784806693e-01,-6.306450713802870534e-02
3.018374683544300385e-01,-4.896648703016866916e-02
3.058683544303795743e-01,-6.492223227901250393e-02
3.098992405063288880e-01,-5.909135009675303002e-02
3.139301265822782572e-01,-6.097205110311364890e-02
3.179610126582275709e-01,-5.382901782296135862e-02
3.219918987341768846e-01,-4.084004452192684098e-02
3.260227848101262538e-01,-5.726082443546264694e-02
3.300536708860755675e-01,-4.194239089312810920e-02
3.340845569620251587e-01,-6.440125342750788184e-02
3.381154430379744724e-01,-3.966430838951979371e-02
3.421463291139237861e-01,-6.570127873880285407e-02
3.461772151898731553e-01,-4.844363030562993944e-02
3.502081012658224690e-01,-7.332131483485523904e-02
3.542389873417718382e-01,-4.588817498399740125e-02
3.582698734177211519e-01,-5.231412203897654184e-02
3.623007594936706877e-01,-4.823387273996143643e-02
3.663316455696200569e-01,-5.576562387373485558e-02
3.703625316455693706e-01,-3.528990600279122147e-02
3.743934177215187398e-01,-5.465140210461112008e-02
3.784243037974680535e-01,-5.195378495559514059e-02
3.824551898734174227e-01,-4.191453471576197382e-02
3.864860759493667364e-01,-3.902672528819815106e-02
3.905169620253162721e-01,-4.739036378974323394e-02
3.945478481012656413e-01,-4.404004494597905245e-02
3.985787341772149550e-01,-5.110999204518464067e-02
4.026096202531642687e-01,-4.637924981078945380e-02
4.066405063291136379e-01,-4.799974037699406698e-02
4.106713924050629516e-01,-4.133543246468221466e-02
4.147022784810125429e-01,-3.866176507807539409e-02
4.187331645569618566e-01,-2.460042031269293189e-02
4.227640506329111703e-01,-4.707068882257593040e-02
4.267949367088605395e-01,-3.778519424477579797e-02
4.308258227848098532e-01,-4.262212570405057854e-02
4.348567088607592224e-01,-3.482823263520037904e-02
4.388875949367085361e-01,-4.555769632206811692e-02
4.429184810126580718e-01,-3.652832162068961330e-02
4.469493670886074410e-01,-3.787074163243884378e-02
4.509802531645567547e-01,-3.036326069973634828e-02
4.550111392405061239e-01,-3.601725618810631968e-02
4.590420253164554376e-01,-2.509569207141512659e-02
4.630729113924048068e-01,-3.680458955182409203e-02
4.671037974683541205e-01,-3.578374895739093453e-02
4.711346835443036563e-01,-4.049587113245733255e-02
4.751655696202530255e-01,-1.661176643899491684e-02
4.791964556962023392e-01,-3.150196945458495074e-02
4.832273417721516529e-01,-3.514443140335773985e-02
4.872582278481010221e-01,-3.980799299092555726e-02
4.912891139240503358e-01,-2.367145214240866380e-02
4.953199999999997050e-01,-2.743140377636942018e-02
4.993508860759492407e-01,-3.418158075096776327e-02
5.033817721518986099e-01,-2.018330077604880632e-02
5.074126582278478681e-01,-2.388305851081443457e-02
5.114435443037972373e-01,-2.724645421433957368e-02
5.154744303797466065e-01,-3.997241489166603046e-02
5.195053164556959757e-01,-1.561486053592145429e-02
5.235362025316452339e-01,-3.133479043450467655e-02
5.275670886075948252e-01,-2.823621168335116102e-02
5.315979746835441944e-01,-2.913980359339734746e-02
5.356288607594934525e-01,-1.018311582158480146e-02
5.396597468354428218e-01,-2.204744808661187466e-02
5.436906329113921910e-01,-2.731812331249567835e-02
5.477215189873414491e-01,-1.739410575949321136e-02
5.517524050632908184e-01,-2.033813356308129469e-02
5.557832911392404096e-01,-2.079637478051120369e-02
5.598141772151896678e-01,-1.866239488273332969e-02
5.638450632911390370e-01,-1.384367642378491609e-02
5.678759493670884062e-01,-1.781691072990083252e-02
5.719068354430377754e-01,-5.896614156431991167e-03
5.759377215189870336e-01,-1.509274650910476939e-02
5.799686075949364028e-01,-3.215093274634005932e-02
5.839994936708859941e-01,-2.348426042988039850e-02
5.880303797468352522e-01,5.689513057584821669e-03
5.920612658227846214e-01,7.117055500869869621e-03
5.960921518987339907e-01,-4.374879024630320273e-03
6.001230379746833599e-01,-3.335541969804802637e-02
6.041539240506326180e-01,-6.304925873540982023e-03
6.081848101265819873e-01,-1.137656758820468871e-02
6.122156962025315785e-01,-1.528428526515461343e-02
6.162465822784808367e-01,-3.097576260427333320e-02
6.202774683544302059e-01,-2.646425462380673499e-02
6.243083544303795751e-01,-3.342702890081948597e-02
6.283392405063288333e-01,-4.401099426574645035e-02
6.323701265822782025e-01,-3.044737501672539065e-02
6.364010126582275717e-01,-4.540352257996591034e-02
6.404318987341770519e-01,-2.874687864706115120e-02
6.444627848101264211e-01,-4.187475917134787784e-02
6.484936708860757903e-01,-4.064424350405684838e-02
6.525245569620251596e-01,-3.763592156628654817e-02
6.565554430379744177e-01,-2.540051618059733021e-02
6.605863291139237869e-01,-4.064019911129936741e-02
6.646172151898731562e-01,-4.210859580258437262e-02
6.686481012658225254e-01,-3.758140108027361453e-02
6.726789873417720056e-01,-4.591930181243835535e-02
6.767098734177213748e-01,-3.697555571797376400e-02
6.807407594936707440e-01,-4.074816451339002832e-02
6.847716455696200022e-01,-2.691010209299765643e-02
6.888025316455694824e-01,-4.602226075236159897e-02
6.928334177215188516e-01,-3.874221195077130753e-02
6.968643037974681098e-01,-5.300002944731149745e-02
7.008951898734175900e-01,-4.503395175584091331e-02
7.049260759493669593e-01,-4.364086946681040163e-02
7.089569620253162174e-01,-4.298485042726620659e-02
7.129878481012655866e-01,-3.524640361732862132e-02
7.170187341772150669e-01,-4.473444530324711260e-02
7.210496202531644361e-01,-2.883464994216504776e-02
7.250805063291136943e-01,-3.198539880914031547e-02
7.291113924050631745e-01,-3.684224913242898497e-02
7.331422784810125437e-01,-4.291949527993305091e-02
7.371731645569618019e-01,-3.001462578273587228e-02
7.412040506329111711e-01,-4.476189217281147104e-02
7.452349367088606513e-01,-4.370157020933139458e-02
7.492658227848099095e-01,-4.265453126057964367e-02
7.532967088607592787e-01,-3.550793069125157686e-02
7.573275949367087589e-01,-3.964709716032166487e-02
7.613584810126581282e-01,-2.594124726846733925e-02
7.653893670886073863e-01,-3.319297412518842222e-02
7.694202531645567555e-01,-3.145569109739120017e-02
7.734511392405062358e-01,-4.142196192827152929e-02
7.774820253164554940e-01,-3.540303202363483115e-02
7.815129113924048632e-01,-4.332694896500721704e-02
7.855437974683543434e-01,-1.812851085213368005e-02
7.895746835443036016e-01,-4.105123975063339897e-02
7.936055696202529708e-01,-8.639576871463883201e-03
7.976364556962023400e-01,-2.791695139793512123e-02
8.016673417721518202e-01,-2.046541196673407059e-02
8.056982278481010784e-01,-2.873871822056009093e-02
8.097291139240504476e-01,-2.214251320137034310e-02
8.137599999999999278e-01,-3.613621878471433291e-02
8.177908860759491860e-01,-3.207228361594798710e-02
8.218217721518985552e-01,-1.639187856204627272e-02
8.258526582278479244e-01,-2.877516769127718560e-02
8.298835443037972937e-01,-3.048501775418501619e-02
8.339144303797466629e-01,-3.630412400040594623e-02
8.379453164556960321e-01,-3.646605946972614198e-02
8.419762025316455123e-01,-2.890619727136192751e-02
8.460070886075947705e-01,-3.751979528404208314e-02
8.500379746835441397e-01,-4.500428774184538766e-02
8.540688607594936199e-01,-3.758688595075648092e-02
8.580997468354428781e-01,-2.244052397581666400e-02
8.621306329113922473e-01,-3.735553679477223582e-02
8.661615189873416165e-01,-3.517188075000768355e-02
8.701924050632909857e-01,-3.754091137237435677e-02
8.742232911392403549e-01,-3.578742006578197049e-02
8.782541772151897241e-01,-3.872050489504812870e-02
8.822850632911392044e-01,-4.578959600007168756e-02
8.863159493670884626e-01,-4.277711748465403557e-02
8.903468354430378318e-01,-3.595901885760911798e-02
8.943777215189872010e-01,-2.920288978787597550e-02
8.984086075949365702e-01,-3.572406216423759662e-02
9.024394936708859394e-01,-3.986106854670570798e-02
9.064703797468353086e-01,-2.996464850934469487e-02
9.105012658227846778e-01,-4.030114817100336616e-02
9.145321518987340470e-01,-3.170952586171719295e-02
9.185630379746834162e-01,-2.883155334780888868e-02
9.225939240506327854e-01,-2.709058990104051129e-02
9.266248101265821546e-01,-4.609691600506784365e-02
9.306556962025315238e-01,-2.956367388710081506e-02
9.346865822784808930e-01,-3.429034367549840812e-02
9.387174683544303733e-01,-1.103132660713068876e-02
9.427483544303795204e-01,-2.846694527772967998e-02
9.467792405063291117e-01,-2.605419484232612826e-02
9.508101265822782588e-01,-4.080958770991326839e-02
9.548410126582277391e-01,-1.896337166310911593e-02
9.588718987341771083e-01,-3.234193738779304883e-02
9.629027848101264775e-01,-2.485070125619432899e-02
9.669336708860759577e-01,-2.869361435082623188e-02
9.709645569620251049e-01,-2.533419231196584048e-02
