#x(nm),y(nN)
-4.799999999999999822e-01,-5.831746872366239565e+00
-4.759299999999997977e-01,-3.939581585014523046e+00
-4.718599999999998351e-01,-5.406512412473941431e+00
-4.677899999999998726e-01,-5.932517587206092458e+00
-4.637199999999999100e-01,-6.649132487304655115e+00
-4.596499999999999475e-01,-6.579433150831498267e+00
-4.555799999999995964e-01,-6.921424703734941453e+00
-4.515099999999996339e-01,-6.988860593054701198e+00
-4.474399999999996713e-01,-7.161788386623515024e+00
-4.433699999999996533e-01,-5.217090725866655454e+00
-4.392999999999996907e-01,-6.951392996076929620e+00
-4.352299999999997282e-01,-9.141074020589874394e+00
-4.311599999999997657e-01,-5.686905414651789670e+00
-4.270899999999998031e-01,-4.453344834113877049e+00
-4.230199999999998406e-01,-4.121802882112818978e+00
-4.189499999999998781e-01,-3.945181538777992269e+00
-4.148799999999999155e-01,-4.074837049384396614e+00
-4.108099999999999530e-01,-4.178226389462044388e+00
-4.067399999999995464e-01,-3.882102841275969496e+00
-4.026699999999995838e-01,-4.319078361748711181e+00
-3.985999999999996213e-01,-4.316487360961953179e+00
-3.945299999999996587e-01,-4.703291023908636070e+00
-3.904599999999996962e-01,-4.840326836541702704e+00
-3.863899999999997337e-01,-4.377371237640806712e+00
-3.823199999999997711e-01,-5.043739277960264999e+00
-3.782499999999998086e-01,-4.553015270667313708e+00
-3.741799999999998461e-01,-3.959380425003364401e+00
-3.701099999999998835e-01,-4.306832558665155908e+00
-3.660399999999999210e-01,-4.446299025911371494e+00
-3.619699999999999585e-01,-3.854473733247141265e+00
-3.578999999999999959e-01,-3.540230704876581314e+00
-3.538299999999995893e-01,-3.427099905711207484e+00
-3.497599999999996268e-01,-3.278764021128612871e+00
-3.456899999999996642e-01,-3.103348320772950863e+00
-3.416199999999997017e-01,-2.839022758620993070e+00
-3.375499999999997391e-01,-2.789137084813448020e+00
-3.334799999999997766e-01,-2.661317007473333884e+00
-3.294099999999998141e-01,-2.931987673234139447e+00
-3.253399999999998515e-01,-2.773224617187854069e+00
-3.212699999999998890e-01,-3.067491571196696576e+00
-3.171999999999998709e-01,-2.602819840029392040e+00
-3.131299999999999084e-01,-2.811511031330142352e+00
-3.090599999999999459e-01,-2.444562586888408440e+00
-3.049899999999995948e-01,-2.825429858396897753e+00
-3.009199999999996322e-01,-2.756806365584739016e+00
-2.968499999999996697e-01,-3.197798398543640896e+00
-2.927799999999997071e-01,-2.761107277634233359e+00
-2.887099999999997446e-01,-2.503895038752831592e+00
-2.846399999999997266e-01,-2.252695395352166230e+00
-2.805699999999997640e-01,-2.088894456400117061e+00
-2.764999999999998015e-01,-2.012552535741959581e+00
-2.724299999999998390e-01,-2.013646684690464372e+00
-2.683599999999998764e-01,-2.015124653454426262e+00
-2.642899999999999139e-01,-2.052142412462052867e+00
-2.602199999999997293e-01,-2.041503396559124273e+00
-2.561499999999997668e-01,-2.020225710922127327e+00
-2.520799999999998042e-01,-2.011050019040504289e+00
-2.480099999999998417e-01,-2.040988789009622550e+00
-2.439399999999998792e-01,-2.074290140149266826e+00
-2.398699999999997223e-01,-2.049953882963301499e+00
-2.357999999999997320e-01,-2.012743785827793452e+00
-2.317299999999997695e-01,-1.985498035863463517e+00
-2.276599999999998070e-01,-1.897185009903638475e+00
-2.235899999999998444e-01,-2.027987690966819301e+00
-2.195199999999998819e-01,-1.814252619676958833e+00
-2.154499999999996973e-01,-1.895735298510345279e+00
-2.113799999999997348e-01,-1.844130800725419128e+00
-2.073099999999997722e-01,-1.731765250633748199e+00
-2.032399999999998097e-01,-1.973604654509537815e+00
-1.991699999999998472e-01,-1.637018115034064136e+00
-1.950999999999998846e-01,-1.662445732703375478e+00
-1.910299999999997000e-01,-1.630291917726192752e+00
-1.869599999999997375e-01,-1.797274772316727276e+00
-1.828899999999997750e-01,-1.491500667725551788e+00
-1.788199999999998124e-01,-1.539743336272514140e+00
-1.747499999999998221e-01,-1.416406375353137959e+00
-1.706799999999998596e-01,-1.275546118889262504e+00
-1.666099999999998971e-01,-1.078414390973008397e+00
-1.625399999999997402e-01,-9.661505577936212452e-01
-1.584699999999997777e-01,-8.854381921131462274e-01
-1.543999999999997874e-01,-8.123217975580051542e-01
-1.503299999999998249e-01,-7.859759632002673024e-01
-1.462599999999998623e-01,-7.740947567599448798e-01
-1.421899999999998998e-01,-7.245106558721249312e-01
-1.381199999999997152e-01,-7.280002592847566456e-01
-1.340499999999997527e-01,-5.937865331883488418e-01
-1.299799999999997902e-01,-6.585252777068230090e-01
-1.259099999999998276e-01,-5.812398871711939030e-01
-1.218399999999998651e-01,-5.466864762914637188e-01
-1.177699999999998887e-01,-5.498740597290266985e-01
-1.136999999999997180e-01,-5.083501232948121062e-01
-1.096299999999997554e-01,-4.933643065953123852e-01
-1.055599999999997929e-01,-4.961290865361677183e-01
-1.014899999999998165e-01,-4.713925584326790763e-01
-9.741999999999985393e-02,-4.600029696831337556e-01
-9.334999999999989140e-02,-4.762165877947874826e-01
-8.927999999999972069e-02,-3.477494740784957128e-01
-8.520999999999974428e-02,-4.353574960043865572e-01
-8.113999999999978174e-02,-4.267044015024974990e-01
-7.706999999999981921e-02,-3.797374657854276081e-01
-7.299999999999985667e-02,-3.436544755355783742e-01
-6.892999999999988026e-02,-3.904256801772214569e-01
-6.485999999999991772e-02,-3.252962683088340690e-01
-6.078999999999974702e-02,-3.550985681575509201e-01
-5.671999999999977754e-02,-2.965073348715588919e-01
-5.264999999999981500e-02,-3.007361238326556330e-01
-4.857999999999984553e-02,-3.115723725881854866e-01
